Reference,Value,Datasheet,Footprint,Qty,DNP
B1,6.8MM_COIN_CELL,,MS621T-FL11E:MS621FE-FL11E,1,
C1,GRM1885C1H470JA01D,,GRM1885C1H470JA01D:G-188_MUR-L,1,
"C3,C4,C5,C6",GRM21BR61C105KA01L,,GRM21BR61C105KA01L:CAPC2012X135N,4,
CR1,1N4148WX-TP,1N4148WX-TP,1N4148WX_TP:CR_SOD323_MCC,1,
"D1,D4",WL-SMCW_0603,,150060BS75000:WL-SMCW_0603,2,
D3,PRTR5V0U2F,,PRTR5V0U2F:FNL6_SOT886_NEX-L,1,
FB1,BLM21AG102SN1D,,BLM21AG102SN1D:IND_BLM21_MUR,1,
J1,SM08B-GHS-TB_LF__SN_,,SM08B-GHS-TB_LF__SN_:JST_SM08B-GHS-TB_LF__SN_,1,
"J2,J4,J5,J6",SM04B-GHS-TB_LF__SN_-,,SM04B-GHS-TB_LF__SN_-:JST_SM04B-GHS-TB_LF__SN_-,4,
J3,USB4105-GF-A-060,,USB4105-GF-A-060:GCT_USB4105-GF-A-060,1,
J7,U.FL-R-SMT-1_10_,,U_FL_R_SMT_1_10_:HRS_U.FL-R-SMT-1_10_,1,
"PPS0,PWR\0,SPI0,W1",5102TR,,5102TR:KEYSTONE_5102TR,4,
"R1,R5,R11",CFR-25JB-52-1K,,CFR-25JB-52-1K:YAG_CFR25_YAG,3,
"R2,R3,R4,R6",RMCF1206JT33R0,,RC0603N_YAG_33:RC0603N_YAG-M,4,
R7,RC0402FR-072K2L:,,RC0402FR-072K2L:RC0402N_YAG,1,
R8,RC0402FR-072K2L,,RC0402FR-072K2L:RC0402N_YAG-M,1,
"R9,R10",CF12JT27R0,CF12JT27R0,CF12JT27R0:RES_CF12_STP,2,
"R12,R13",CRCW06035K10FKEAC,,CRCW06035K10FKEAC:RESC1608X55N,2,
R14,SQP10AJB_10R,,SQP10AJB_10R:YAG_SQP10_YAG,1,
R15,RC0402FR-07100KL,RC0402FR-07100KL,RC0402N_YAG,1,
R16,CFR-25JB-52-10K,,CFR-25JB-52-10K:YAG_CFR25_YAG,1,
U1,U-BLOX_NEO-M9N,,RF_GPS:ublox_NEO,1,
U2,AMS1117-3.3,http://www.advanced-monolithic.com/pdf/ds1117.pdf,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,
